Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  998.8       	  25.8	  70	   183    	  19.9  	 262.2	   ///./	  262.2	 346.8  	 1164.1 	 23.3    	   30.1    	  28.4    	 14.63       	 57838.6      	   0.6   	 332    	 ////./       	 ////./       	 ////./        	  -87.60278	  41.76358	   182.9
00001.0  	  998.1       	  25.3	  71	   189    	  19.6  	 262.5	   ///./	  263.5	 346.5  	 1165.3 	 22.8    	   29.7    	  27.9    	 14.33       	 57839.6      	   3.4   	 027    	 ////./       	 ////./       	 ////./        	  -87.60281	  41.76354	   189.3
00002.0  	  997.3       	  24.8	  71	   196    	  19.2  	 262.8	   ///./	  264.8	 346.2  	 1166.4 	 22.3    	   29.2    	  27.3    	 14.02       	 57840.6      	   3.4   	 027    	 ////./       	 ////./       	 ////./        	  -87.60284	  41.76350	   195.7
00003.0  	  996.6       	  24.3	  72	   202    	  18.9  	 263.1	   ///./	  266.1	 345.9  	 1167.6 	 21.8    	   28.7    	  26.7    	 13.72       	 57841.6      	   3.4   	 027    	 ////./       	 ////./       	 ////./        	  -87.60288	  41.76346	   202.1
00004.0  	  995.9       	  23.8	  72	   208    	  18.5  	 263.4	   ///./	  267.4	 345.6  	 1168.7 	 21.3    	   28.3    	  26.2    	 13.43       	 57842.6      	   3.4   	 027    	 ////./       	 ////./       	 ////./        	  -87.60291	  41.76342	   208.6
00005.0  	  995.2       	  23.2	  73	   215    	  18.1  	 263.7	   ///./	  268.7	 345.3  	 1169.9 	 20.9    	   27.8    	  25.6    	 13.14       	 57843.6      	   3.4   	 027    	 ////./       	 ////./       	 ////./        	  -87.60294	  41.76338	   215.0
00006.0  	  994.4       	  22.7	  74	   221    	  17.8  	 263.9	   ///./	  270.0	 345.0  	 1171.1 	 20.4    	   27.4    	  25.0    	 12.85       	 57844.6      	   3.4   	 027    	 ////./       	 ////./       	 ////./        	  -87.60297	  41.76334	   221.4
00007.0  	  994.0       	  22.6	  74	   228    	  17.7  	 264.0	   ///./	  271.1	 344.9  	 1171.2 	 20.3    	   27.2    	  24.8    	 12.81       	 57845.6      	   3.4   	 029    	 ////./       	 ////./       	 ////./        	  -87.60301	  41.76330	   227.8
00008.0  	  993.5       	  22.5	  75	   233    	  17.8  	 263.9	   ///./	  271.8	 344.9  	 1170.8 	 20.4    	   27.2    	  24.8    	 12.86       	 57846.6      	   3.5   	 030    	 ////./       	 ////./       	 ////./        	  -87.60304	  41.76326	   232.9
00009.0  	  993.1       	  22.5	  75	   236    	  17.8  	 263.9	   ///./	  272.2	 344.9  	 1170.5 	 20.4    	   27.2    	  24.8    	 12.90       	 57847.6      	   3.6   	 031    	 ////./       	 ////./       	 ////./        	  -87.60307	  41.76322	   235.8
00010.0  	  992.7       	  22.5	  75	   239    	  17.9  	 263.8	   ///./	  272.6	 344.9  	 1170.1 	 20.5    	   27.2    	  24.8    	 12.94       	 57848.6      	   3.7   	 032    	 ////./       	 ////./       	 ////./        	  -87.60310	  41.76318	   238.7
00011.0  	  992.2       	  22.4	  76	   242    	  17.9  	 263.7	   ///./	  273.0	 344.8  	 1169.7 	 20.6    	   27.2    	  24.7    	 12.99       	 57849.6      	   3.7   	 033    	 ////./       	 ////./       	 ////./        	  -87.60313	  41.76314	   241.7
00012.0  	  991.8       	  22.4	  76	   244    	  18.0  	 263.7	   ///./	  273.4	 344.8  	 1169.3 	 20.6    	   27.2    	  24.7    	 13.03       	 57850.6      	   3.8   	 034    	 ////./       	 ////./       	 ////./        	  -87.60317	  41.76310	   244.6
00013.0  	  991.3       	  22.3	  76	   247    	  18.0  	 263.6	   ///./	  273.8	 344.8  	 1169.0 	 20.7    	   27.2    	  24.7    	 13.07       	 57851.6      	   3.9   	 035    	 ////./       	 ////./       	 ////./        	  -87.60320	  41.76306	   247.5
00014.0  	  990.9       	  22.3	  77	   251    	  18.0  	 263.5	   ///./	  274.3	 344.8  	 1168.6 	 20.7    	   27.2    	  24.6    	 13.11       	 57852.6      	   4.0   	 036    	 ////./       	 ////./       	 ////./        	  -87.60323	  41.76302	   251.4
00015.0  	  990.5       	  22.3	  77	   255    	  18.1  	 263.5	   ///./	  274.9	 344.7  	 1168.2 	 20.8    	   27.2    	  24.6    	 13.16       	 57853.6      	   4.0   	 037    	 ////./       	 ////./       	 ////./        	  -87.60326	  41.76298	   255.5
00016.0  	  990.0       	  22.2	  78	   260    	  18.1  	 263.4	   ///./	  275.5	 344.7  	 1167.9 	 20.8    	   27.2    	  24.6    	 13.20       	 57854.6      	   4.0   	 037    	 ////./       	 ////./       	 ////./        	  -87.60329	  41.76295	   259.6
00017.0  	  989.6       	  22.2	  78	   264    	  18.2  	 263.4	   ///./	  276.1	 344.7  	 1167.5 	 20.9    	   27.2    	  24.5    	 13.24       	 57855.6      	   4.0   	 037    	 ////./       	 ////./       	 ////./        	  -87.60332	  41.76292	   263.7
00018.0  	  989.1       	  22.1	  78	   268    	  18.2  	 263.3	   ///./	  276.6	 344.7  	 1167.1 	 21.0    	   27.2    	  24.5    	 13.28       	 57856.6      	   4.0   	 037    	 ////./       	 ////./       	 ////./        	  -87.60335	  41.76290	   267.8
00019.0  	  988.7       	  22.1	  79	   272    	  18.3  	 263.2	   ///./	  277.2	 344.7  	 1166.7 	 21.0    	   27.2    	  24.5    	 13.32       	 57857.6      	   3.9   	 037    	 ////./       	 ////./       	 ////./        	  -87.60338	  41.76287	   271.9
00020.0  	  988.2       	  22.1	  79	   276    	  18.3  	 263.1	   ///./	  277.8	 344.6  	 1166.4 	 21.0    	   27.2    	  24.4    	 13.33       	 57858.6      	   3.9   	 037    	 ////./       	 ////./       	 ////./        	  -87.60341	  41.76284	   276.0
00021.0  	  987.8       	  22.0	  79	   280    	  18.2  	 263.1	   ///./	  278.3	 344.6  	 1166.0 	 21.0    	   27.2    	  24.4    	 13.32       	 57859.6      	   3.9   	 038    	 ////./       	 ////./       	 ////./        	  -87.60345	  41.76282	   280.0
