,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,997.5,26.0,59,183,17.4,261.2,   ///./,261.2,346.9,1161.8,19.9,30.4,28.3,12.48,63033.7,1.2,89, ////./       , ////./       , ////./        ,-87.60283,41.76355,182.9
1,1.0,996.1,25.4,60,196,17.0,261.4,   ///./,263.4,346.6,1162.4,19.4,30.0,27.6,12.22,63034.7,3.1,60, ////./       , ////./       , ////./        ,-87.6029,41.76352,195.6
2,2.0,994.6,24.9,60,208,16.7,261.5,   ///./,265.5,346.3,1162.9,19.0,29.5,27.0,11.96,63035.7,3.1,60, ////./       , ////./       , ////./        ,-87.60297,41.76349,208.3
3,3.0,993.2,24.3,61,221,16.3,261.7,   ///./,267.7,345.9,1163.4,18.6,29.1,26.4,11.7,63036.7,3.1,60, ////./       , ////./       , ////./        ,-87.60304,41.76345,221.0
4,4.0,991.7,23.7,62,234,15.9,261.8,   ///./,269.8,345.6,1164.0,18.1,28.6,25.8,11.45,63037.7,3.1,60, ////./       , ////./       , ////./        ,-87.60311,41.76342,233.8
5,5.0,990.3,23.2,62,246,15.6,262.0,   ///./,272.0,345.3,1164.5,17.7,28.2,25.2,11.2,63038.7,3.1,60, ////./       , ////./       , ////./        ,-87.60318,41.76339,246.5
6,6.0,988.9,22.6,63,259,15.2,262.2,   ///./,274.2,344.9,1165.0,17.3,27.7,24.5,10.95,63039.7,3.1,60, ////./       , ////./       , ////./        ,-87.60326,41.76335,259.2
7,7.0,987.7,22.4,64,272,15.1,262.1,   ///./,276.1,344.8,1164.5,17.2,27.6,24.3,10.91,63040.7,3.2,60, ////./       , ////./       , ////./        ,-87.60333,41.76332,272.0
8,8.0,986.5,22.3,64,285,15.2,261.8,   ///./,277.8,344.8,1163.2,17.3,27.7,24.3,10.98,63041.7,3.3,59, ////./       , ////./       , ////./        ,-87.6034,41.76328,284.7
9,9.0,985.3,22.3,64,297,15.3,261.5,   ///./,279.5,344.8,1162.0,17.4,27.7,24.3,11.04,63042.7,3.4,58, ////./       , ////./       , ////./        ,-87.60347,41.76325,297.4
10,10.0,984.1,22.3,65,310,15.3,261.3,   ///./,281.3,344.7,1160.7,17.4,27.8,24.2,11.1,63043.7,3.6,58, ////./       , ////./       , ////./        ,-87.60354,41.76322,310.1
11,11.0,982.9,22.2,65,319,15.4,261.0,   ///./,282.4,344.7,1159.5,17.5,27.9,24.2,11.16,63044.7,3.7,57, ////./       , ////./       , ////./        ,-87.60361,41.76318,319.0
12,12.0,981.7,22.2,66,323,15.5,260.8,   ///./,282.7,344.7,1158.2,17.6,27.9,24.2,11.22,63045.7,3.8,56, ////./       , ////./       , ////./        ,-87.60368,41.76315,322.7
13,13.0,981.2,22.1,66,326,15.5,260.7,   ///./,283.2,344.7,1157.8,17.7,27.9,24.1,11.28,63046.7,3.9,56, ////./       , ////./       , ////./        ,-87.60375,41.76312,326.3
14,14.0,980.8,22.1,67,330,15.6,260.6,   ///./,283.7,344.6,1157.4,17.7,27.9,24.1,11.33,63047.7,4.0,55, ////./       , ////./       , ////./        ,-87.60382,41.76308,330.0
