Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:07.5     	15:55:55.4         	---      	---                 	---                   	---          	---         	---
00:08.6     	15:55:56.5         	---      	---                 	---                   	---          	---         	---
00:09.5     	15:55:57.4         	---      	---                 	---                   	---          	---         	---
00:10.4     	15:55:58.3         	---      	---                 	---                   	---          	---         	---
00:11.5     	15:55:59.4         	---      	---                 	---                   	---          	---         	---
00:12.4     	15:56:00.3         	0.5      	-0.1                	0.3                   	-87.60285    	41.7636     	184.0
00:13.5     	15:56:01.4         	1.5      	-1.7                	1.1                   	-87.60284    	41.7636     	182.4
00:14.4     	15:56:02.3         	2.1      	-1.2                	1.0                   	-87.60283    	41.7636     	182.0
00:15.5     	15:56:03.4         	2.9      	-0.3                	0.5                   	-87.60282    	41.7636     	181.6
00:16.4     	15:56:04.3         	3.5      	-0.7                	0.7                   	-87.60282    	41.7636     	181.1
00:17.5     	15:56:05.4         	3.2      	-0.1                	0.3                   	-87.60282    	41.7636     	181.5
00:18.4     	15:56:06.3         	3.9      	-0.6                	0.2                   	-87.60282    	41.7636     	180.7
00:19.5     	15:56:07.4         	4.3      	-0.4                	0.2                   	-87.60282    	41.7636     	180.3
00:20.4     	15:56:08.3         	4.5      	-0.2                	0.4                   	-87.60282    	41.7636     	180.1
00:21.5     	15:56:09.5         	4.3      	-0.2                	0.1                   	-87.60282    	41.7636     	180.3
00:22.5     	15:56:10.4         	4.5      	0.0                 	0.1                   	-87.60282    	41.7636     	180.2
00:23.4     	15:56:11.3         	4.9      	-0.1                	0.1                   	-87.60281    	41.7636     	180.0
00:24.5     	15:56:12.4         	5.3      	-0.2                	0.2                   	-87.60281    	41.7636     	179.6
00:25.4     	15:56:13.3         	5.8      	-0.2                	0.1                   	-87.60281    	41.7636     	179.0
00:26.5     	15:56:14.4         	6.0      	-0.1                	0.4                   	-87.60281    	41.7636     	178.8
00:27.4     	15:56:15.3         	6.0      	-0.2                	0.4                   	-87.60281    	41.7636     	178.9
00:28.5     	15:56:16.4         	6.1      	0.0                 	0.4                   	-87.60281    	41.7636     	178.9
00:29.4     	15:56:17.3         	6.0      	0.2                 	0.5                   	-87.60281    	41.7636     	179.2
00:30.5     	15:56:18.4         	5.9      	0.2                 	0.2                   	-87.60281    	41.7636     	179.3
00:31.4     	15:56:19.3         	5.9      	0.1                 	0.3                   	-87.60281    	41.7636     	179.3
00:32.5     	15:56:20.4         	6.1      	0.1                 	0.0                   	-87.60282    	41.7636     	178.8
00:33.4     	15:56:21.3         	6.8      	0.0                 	0.5                   	-87.60283    	41.7636     	178.2
00:34.5     	15:56:22.4         	6.5      	-0.2                	0.1                   	-87.60283    	41.7636     	178.7
