,Time[sec],Pressure[mbar],T[°C] ,U[%],Geo Pot[m],Dew [°C],RI    ,GRI     ,MRI    ,CL [m/s],D [g/m3],VP [mbar],Pot Te [°C],Vi Te [°C],Spec U [g/kg],UTC Time [sec],Wsp [m/s],Wdir [°],N/S Wind [m/s],E/W Wind [m/s],Vert Wind [m/s],Lon [°]    ,Lat [°]   ,Geometric Height [m]
0,0.0,997.1,28.1,63,189,20.4,259.4,   ///./,259.4,348.1,1153.3,24.0,32.6,30.8,15.1,58044.3,0.5,35, ////./       , ////./       , ////./        ,-87.61428,41.8664,189.0
1,1.0,997.0,27.6,65,191,20.3,260.0,   ///./,260.2,347.8,1155.2,23.9,32.1,30.3,15.02,58045.3,0.1,135, ////./       , ////./       , ////./        ,-87.61427,41.86639,190.8
2,2.0,996.9,27.0,66,193,20.2,260.5,   ///./,261.0,347.5,1157.2,23.7,31.5,29.7,14.92,58046.3,0.1,135, ////./       , ////./       , ////./        ,-87.61426,41.86638,192.6
3,3.0,996.8,26.5,68,194,20.1,261.0,   ///./,261.7,347.2,1159.2,23.5,31.0,29.1,14.81,58047.3,0.1,135, ////./       , ////./       , ////./        ,-87.61426,41.86636,193.6
4,4.0,996.7,25.9,70,194,19.9,261.5,   ///./,262.3,346.9,1161.2,23.3,30.4,28.6,14.7,58048.3,0.1,135, ////./       , ////./       , ////./        ,-87.61425,41.86635,193.9
5,5.0,996.6,25.4,71,194,19.8,262.0,   ///./,262.9,346.6,1163.2,23.1,29.9,28.0,14.57,58049.3,0.1,135, ////./       , ////./       , ////./        ,-87.61424,41.86634,194.2
6,6.0,996.5,24.8,73,194,19.7,262.6,   ///./,263.5,346.2,1165.2,22.9,29.3,27.4,14.44,58050.3,0.1,135, ////./       , ////./       , ////./        ,-87.61424,41.86632,194.5
7,7.0,996.5,24.3,74,195,19.4,263.1,   ///./,264.1,345.9,1167.4,22.5,28.8,26.8,14.19,58051.3,0.1,84, ////./       , ////./       , ////./        ,-87.61423,41.86631,194.8
8,8.0,996.5,24.1,75,195,19.3,263.3,   ///./,264.3,345.8,1168.3,22.4,28.5,26.6,14.12,58052.3,0.2,64, ////./       , ////./       , ////./        ,-87.61422,41.86629,195.1
9,9.0,996.5,23.9,75,195,19.3,263.5,   ///./,264.4,345.7,1168.8,22.4,28.4,26.4,14.12,58053.3,0.3,56, ////./       , ////./       , ////./        ,-87.61421,41.86628,194.7
10,10.0,996.6,23.8,76,194,19.3,263.7,   ///./,264.5,345.6,1169.4,22.4,28.3,26.3,14.11,58054.3,0.4,52, ////./       , ////./       , ////./        ,-87.61421,41.86627,194.2
11,11.0,996.6,23.6,77,194,19.3,263.8,   ///./,264.6,345.5,1170.0,22.4,28.1,26.2,14.09,58055.3,0.4,50, ////./       , ////./       , ////./        ,-87.6142,41.86625,193.8
12,12.0,996.6,23.5,77,193,19.3,264.0,   ///./,264.7,345.5,1170.6,22.4,28.0,26.0,14.08,58056.3,0.5,48, ////./       , ////./       , ////./        ,-87.61419,41.86624,193.4
13,13.0,996.4,23.4,78,193,19.2,264.1,   ///./,264.7,345.4,1170.9,22.4,27.8,25.9,14.07,58057.3,0.6,47, ////./       , ////./       , ////./        ,-87.61418,41.86623,193.0
14,14.0,996.1,23.2,78,194,19.2,264.2,   ///./,265.0,345.3,1171.1,22.3,27.7,25.7,14.06,58058.3,0.7,46, ////./       , ////./       , ////./        ,-87.61418,41.86621,194.4
15,15.0,995.9,23.1,79,197,19.2,264.2,   ///./,265.6,345.2,1171.4,22.3,27.6,25.6,14.05,58059.3,0.7,45, ////./       , ////./       , ////./        ,-87.61419,41.8662,197.4
16,16.0,995.6,22.9,80,200,19.2,264.3,   ///./,266.1,345.1,1171.7,22.3,27.5,25.4,14.04,58060.3,0.9,44, ////./       , ////./       , ////./        ,-87.61421,41.86617,200.4
17,17.0,995.4,22.8,80,203,19.2,264.4,   ///./,266.7,345.0,1171.9,22.3,27.3,25.3,14.03,58061.3,1.0,44, ////./       , ////./       , ////./        ,-87.61424,41.86615,203.4
18,18.0,995.1,22.6,81,206,19.2,264.5,   ///./,267.3,345.0,1172.2,22.2,27.2,25.1,14.01,58062.3,1.2,44, ////./       , ////./       , ////./        ,-87.61426,41.86613,206.4
19,19.0,994.6,22.5,81,209,19.1,264.5,   ///./,267.8,344.9,1172.2,22.2,27.1,25.0,14.0,58063.3,1.3,44, ////./       , ////./       , ////./        ,-87.61429,41.86611,209.4
20,20.0,994.1,22.4,82,213,19.1,264.5,   ///./,268.4,344.8,1172.1,22.2,27.0,24.9,14.0,58064.3,1.5,43, ////./       , ////./       , ////./        ,-87.61431,41.86609,213.5
21,21.0,993.6,22.3,82,219,19.1,264.5,   ///./,269.2,344.7,1171.9,22.2,27.0,24.7,13.99,58065.3,1.6,43, ////./       , ////./       , ////./        ,-87.61434,41.86607,218.6
22,22.0,993.0,22.1,83,224,19.1,264.5,   ///./,270.0,344.7,1171.7,22.1,26.9,24.6,13.99,58066.3,1.8,43, ////./       , ////./       , ////./        ,-87.61436,41.86605,223.7
23,23.0,992.5,22.0,83,229,19.1,264.5,   ///./,270.8,344.6,1171.6,22.1,26.8,24.5,13.98,58067.3,1.9,43, ////./       , ////./       , ////./        ,-87.61439,41.86603,228.8
24,24.0,992.0,21.9,84,234,19.1,264.5,   ///./,271.5,344.5,1171.4,22.1,26.8,24.4,13.98,58068.3,2.1,43, ////./       , ////./       , ////./        ,-87.61441,41.86601,233.9
25,25.0,991.4,21.8,84,239,19.1,264.4,   ///./,272.3,344.5,1171.1,22.1,26.7,24.3,13.97,58069.3,2.2,43, ////./       , ////./       , ////./        ,-87.61444,41.86598,239.0
