Time [mm:ss]	UTC Time [hh:mm:ss]	T [°C]	Hu5 [%]	T Molybdenum [°C]
00:00.8     	11:49:25.8         	--    	--     	--
00:00.9     	11:49:25.9         	      	       	
00:01.2     	11:49:26.2         	--    	51.39  	--
00:02.1     	11:49:27.1         	--    	51.69  	--
00:03.0     	11:49:28.0         	--    	52.10  	--
00:03.7     	11:49:28.7         	23.24 	56.48  	27.90
00:04.5     	11:49:29.5         	23.24 	76.33  	27.79
00:05.4     	11:49:30.4         	23.28 	76.26  	27.72
00:06.3     	11:49:31.3         	23.33 	75.88  	27.70
00:07.3     	11:49:32.3         	23.36 	75.78  	27.69
00:08.2     	11:49:33.2         	23.38 	75.31  	27.75
00:09.1     	11:49:34.1         	23.36 	75.40  	27.73
00:09.9     	11:49:34.9         	23.24 	75.95  	27.72
00:10.8     	11:49:35.8         	23.18 	76.14  	27.78
00:11.8     	11:49:36.8         	23.16 	76.02  	27.90
00:12.6     	11:49:37.6         	23.19 	75.89  	28.03
00:13.5     	11:49:38.5         	23.24 	75.60  	28.18
00:14.4     	11:49:39.4         	23.25 	75.60  	28.25
00:15.3     	11:49:40.3         	23.28 	75.31  	28.37
00:16.2     	11:49:41.2         	23.32 	75.45  	28.40
00:17.1     	11:49:42.1         	23.28 	75.57  	28.39
00:17.9     	11:49:42.9         	23.23 	75.75  	28.38
00:18.9     	11:49:43.9         	23.21 	76.17  	28.28
00:19.9     	11:49:44.9         	23.18 	76.73  	28.09
00:20.7     	11:49:45.7         	23.15 	76.83  	27.97
00:21.6     	11:49:46.6         	23.11 	76.72  	27.94
00:22.5     	11:49:47.5         	23.09 	76.53  	27.95
00:23.4     	11:49:48.4         	23.09 	76.34  	27.99
00:24.3     	11:49:49.3         	23.11 	76.33  	28.04
00:25.2     	11:49:50.2         	23.14 	75.99  	28.14
00:26.0     	11:49:51.0         	23.16 	76.28  	28.19
00:26.9     	11:49:51.9         	23.15 	77.03  	28.17
00:27.8     	11:49:52.8         	23.16 	77.16  	28.13
00:28.7     	11:49:53.7         	23.17 	77.42  	28.00
00:29.6     	11:49:54.6         	23.17 	77.46  	27.88
00:30.6     	11:49:55.6         	23.13 	76.92  	27.95
00:31.5     	11:49:56.5         	23.12 	76.85  	28.04
00:32.4     	11:49:57.4         	23.11 	77.10  	28.07
00:33.3     	11:49:58.3         	23.12 	77.04  	28.09
00:34.1     	11:49:59.1         	23.11 	77.34  	28.03
00:35.0     	11:50:00.0         	23.10 	77.52  	27.93
00:35.9     	11:50:00.9         	23.13 	77.50  	27.83
00:36.8     	11:50:01.8         	23.17 	77.03  	27.76
00:37.7     	11:50:02.7         	23.23 	76.60  	27.73
00:38.6     	11:50:03.6         	23.24 	76.42  	27.64
00:39.5     	11:50:04.5         	23.19 	76.83  	27.55
00:40.4     	11:50:05.4         	23.21 	76.61  	27.44
00:41.3     	11:50:06.3         	23.13 	77.10  	27.29
00:42.1     	11:50:07.1         	23.15 	76.62  	27.28
00:43.1     	11:50:08.1         	23.18 	75.85  	27.37
00:44.0     	11:50:09.0         	23.14 	76.05  	27.44
00:44.8     	11:50:09.8         	23.14 	76.01  	27.52
00:45.8     	11:50:10.8         	23.13 	76.49  	27.54
00:46.7     	11:50:11.7         	23.14 	76.30  	27.56
00:47.6     	11:50:12.6         	23.15 	76.11  	27.62
00:48.5     	11:50:13.5         	23.17 	75.83  	27.75
00:49.4     	11:50:14.4         	23.17 	75.32  	27.87
00:50.3     	11:50:15.3         	23.21 	75.17  	27.94
00:51.2     	11:50:16.2         	23.23 	75.45  	27.93
00:52.1     	11:50:17.1         	23.24 	75.57  	27.94
00:52.9     	11:50:17.9         	23.22 	75.28  	28.02
00:53.8     	11:50:18.8         	23.20 	75.79  	28.03
00:54.7     	11:50:19.7         	23.18 	75.84  	28.10
00:55.6     	11:50:20.6         	23.13 	76.12  	28.11
00:56.5     	11:50:21.5         	23.13 	76.58  	28.02
00:57.4     	11:50:22.4         	23.09 	77.38  	27.91
