Time[sec]	Pressure[mbar]	T[°C] 	U[%]	Geo Pot[m]	Dew [°C]	RI    	GRI     	MRI    	CL [m/s]	D [g/m3]	VP [mbar]	Pot Te [°C]	Vi Te [°C]	Spec U [g/kg]	UTC Time [sec]	Wsp [m/s]	Wdir [°]	N/S Wind [m/s]	E/W Wind [m/s]	Vert Wind [m/s]	Lon [°]    	Lat [°]   	Geometric Height [m]
00000.0  	  996.0       	  31.7	  48	   189    	  19.3  	 255.5	   ///./	  255.5	 350.2  	 1138.4 	 22.5    	   36.3    	  34.3    	 14.15       	 59280.2      	   0.1   	 001    	 ////./       	 ////./       	 ////./        	  -87.61432	  41.86649	   189.0
00001.0  	  995.9       	  31.2	  48	   189    	  19.0  	 255.9	   ///./	  256.0	 349.9  	 1140.2 	 22.0    	   35.8    	  33.7    	 13.86       	 59281.2      	   0.2   	 284    	 ////./       	 ////./       	 ////./        	  -87.61429	  41.86647	   189.4
00002.0  	  995.9       	  30.7	  49	   190    	  18.7  	 256.3	   ///./	  256.5	 349.6  	 1142.1 	 21.6    	   35.3    	  33.2    	 13.58       	 59282.2      	   0.3   	 281    	 ////./       	 ////./       	 ////./        	  -87.61425	  41.86646	   189.8
00003.0  	  995.8       	  30.2	  49	   190    	  18.3  	 256.8	   ///./	  257.0	 349.3  	 1143.9 	 21.1    	   34.8    	  32.6    	 13.30       	 59283.2      	   0.3   	 279    	 ////./       	 ////./       	 ////./        	  -87.61422	  41.86644	   190.3
00004.0  	  995.7       	  29.7	  50	   191    	  18.0  	 257.2	   ///./	  257.5	 349.0  	 1145.8 	 20.7    	   34.3    	  32.0    	 13.02       	 59284.2      	   0.4   	 278    	 ////./       	 ////./       	 ////./        	  -87.61418	  41.86643	   191.0
00005.0  	  995.7       	  29.1	  50	   192    	  17.7  	 257.6	   ///./	  258.1	 348.7  	 1147.6 	 20.2    	   33.8    	  31.5    	 12.75       	 59285.2      	   0.4   	 277    	 ////./       	 ////./       	 ////./        	  -87.61415	  41.86641	   191.8
00006.0  	  995.6       	  28.6	  50	   192    	  17.3  	 258.1	   ///./	  258.6	 348.4  	 1149.5 	 19.8    	   33.3    	  30.9    	 12.48       	 59286.2      	   0.5   	 276    	 ////./       	 ////./       	 ////./        	  -87.61412	  41.86640	   192.5
00007.0  	  995.3       	  28.4	  51	   193    	  17.2  	 258.2	   ///./	  258.9	 348.3  	 1150.2 	 19.7    	   33.0    	  30.6    	 12.38       	 59287.2      	   0.6   	 274    	 ////./       	 ////./       	 ////./        	  -87.61408	  41.86638	   193.2
00008.0  	  994.9       	  28.2	  51	   194    	  17.2  	 258.3	   ///./	  259.1	 348.2  	 1150.3 	 19.7    	   32.9    	  30.5    	 12.40       	 59288.2      	   0.8   	 272    	 ////./       	 ////./       	 ////./        	  -87.61405	  41.86637	   194.0
00009.0  	  994.6       	  28.1	  52	   196    	  17.2  	 258.3	   ///./	  259.5	 348.1  	 1150.4 	 19.7    	   32.8    	  30.3    	 12.42       	 59289.2      	   0.9   	 271    	 ////./       	 ////./       	 ////./        	  -87.61401	  41.86635	   196.3
00010.0  	  994.3       	  28.0	  52	   201    	  17.3  	 258.4	   ///./	  260.3	 348.1  	 1150.5 	 19.7    	   32.7    	  30.2    	 12.43       	 59290.2      	   1.1   	 270    	 ////./       	 ////./       	 ////./        	  -87.61398	  41.86634	   201.1
00011.0  	  993.9       	  27.8	  53	   206    	  17.3  	 258.4	   ///./	  261.1	 348.0  	 1150.6 	 19.7    	   32.6    	  30.1    	 12.45       	 59291.2      	   1.3   	 270    	 ////./       	 ////./       	 ////./        	  -87.61395	  41.86632	   205.9
00012.0  	  993.6       	  27.7	  53	   211    	  17.3  	 258.5	   ///./	  261.9	 347.9  	 1150.7 	 19.8    	   32.5    	  30.0    	 12.46       	 59292.2      	   1.4   	 269    	 ////./       	 ////./       	 ////./        	  -87.61391	  41.86631	   210.6
00013.0  	  993.0       	  27.6	  54	   215    	  17.3  	 258.4	   ///./	  262.6	 347.8  	 1150.5 	 19.8    	   32.4    	  29.8    	 12.48       	 59293.2      	   1.6   	 269    	 ////./       	 ////./       	 ////./        	  -87.61388	  41.86629	   215.4
00014.0  	  992.3       	  27.4	  54	   220    	  17.3  	 258.4	   ///./	  263.3	 347.8  	 1150.3 	 19.8    	   32.3    	  29.7    	 12.49       	 59294.2      	   1.7   	 269    	 ////./       	 ////./       	 ////./        	  -87.61384	  41.86628	   220.2
00015.0  	  991.7       	  27.3	  54	   226    	  17.3  	 258.4	   ///./	  264.1	 347.7  	 1150.0 	 19.8    	   32.3    	  29.6    	 12.51       	 59295.2      	   1.9   	 268    	 ////./       	 ////./       	 ////./        	  -87.61381	  41.86628	   225.6
00016.0  	  991.1       	  27.2	  55	   232    	  17.3  	 258.3	   ///./	  265.1	 347.6  	 1149.8 	 19.8    	   32.2    	  29.5    	 12.52       	 59296.2      	   2.0   	 269    	 ////./       	 ////./       	 ////./        	  -87.61377	  41.86629	   231.8
00017.0  	  990.5       	  27.1	  55	   238    	  17.3  	 258.3	   ///./	  266.0	 347.5  	 1149.6 	 19.8    	   32.1    	  29.3    	 12.54       	 59297.2      	   2.1   	 269    	 ////./       	 ////./       	 ////./        	  -87.61373	  41.86629	   237.9
00018.0  	  989.8       	  26.9	  56	   244    	  17.3  	 258.3	   ///./	  267.0	 347.5  	 1149.4 	 19.8    	   32.0    	  29.2    	 12.55       	 59298.2      	   2.2   	 269    	 ////./       	 ////./       	 ////./        	  -87.61369	  41.86630	   244.1
00019.0  	  989.2       	  26.8	  56	   250    	  17.3  	 258.3	   ///./	  267.9	 347.4  	 1149.1 	 19.8    	   32.0    	  29.1    	 12.56       	 59299.2      	   2.3   	 269    	 ////./       	 ////./       	 ////./        	  -87.61365	  41.86630	   250.3
00020.0  	  988.6       	  26.7	  57	   256    	  17.3  	 258.2	   ///./	  268.8	 347.3  	 1148.9 	 19.8    	   31.9    	  28.9    	 12.57       	 59300.2      	   2.4   	 269    	 ////./       	 ////./       	 ////./        	  -87.61361	  41.86631	   256.4
00021.0  	  987.9       	  26.6	  57	   262    	  17.3  	 258.1	   ///./	  269.6	 347.2  	 1148.5 	 19.8    	   31.9    	  28.8    	 12.56       	 59301.2      	   2.5   	 269    	 ////./       	 ////./       	 ////./        	  -87.61357	  41.86632	   261.9
00022.0  	  987.3       	  26.5	  57	   267    	  17.3  	 258.1	   ///./	  270.4	 347.2  	 1148.1 	 19.8    	   31.8    	  28.7    	 12.55       	 59302.2      	   2.6   	 269    	 ////./       	 ////./       	 ////./        	  -87.61353	  41.86632	   267.4
00023.0  	  986.6       	  26.4	  57	   273    	  17.3  	 258.0	   ///./	  271.2	 347.1  	 1147.7 	 19.7    	   31.8    	  28.6    	 12.53       	 59303.2      	   2.7   	 269    	 ////./       	 ////./       	 ////./        	  -87.61349	  41.86633	   272.9
00024.0  	  986.0       	  26.3	  58	   278    	  17.2  	 257.9	   ///./	  272.0	 347.1  	 1147.3 	 19.7    	   31.7    	  28.6    	 12.52       	 59304.2      	   2.8   	 269    	 ////./       	 ////./       	 ////./        	  -87.61346	  41.86633	   278.4
00025.0  	  985.4       	  26.2	  58	   284    	  17.2  	 257.8	   ///./	  272.8	 347.0  	 1146.9 	 19.7    	   31.7    	  28.5    	 12.50       	 59305.2      	   2.9   	 269    	 ////./       	 ////./       	 ////./        	  -87.61342	  41.86634	   283.9
00026.0  	  984.7       	  26.1	  58	   289    	  17.2  	 257.8	   ///./	  273.6	 347.0  	 1146.6 	 19.6    	   31.7    	  28.4    	 12.49       	 59306.2      	   2.9   	 269    	 ////./       	 ////./       	 ////./        	  -87.61338	  41.86635	   289.5
00027.0  	  984.1       	  26.0	  58	   295    	  17.1  	 257.7	   ///./	  274.4	 346.9  	 1146.2 	 19.6    	   31.6    	  28.3    	 12.47       	 59307.2      	   3.0   	 269    	 ////./       	 ////./       	 ////./        	  -87.61334	  41.86635	   295.1
00028.0  	  983.5       	  25.9	  58	   301    	  17.1  	 257.6	   ///./	  275.2	 346.9  	 1145.8 	 19.5    	   31.6    	  28.2    	 12.45       	 59308.2      	   3.1   	 269    	 ////./       	 ////./       	 ////./        	  -87.61330	  41.86636	   300.8
00029.0  	  982.9       	  25.8	  59	   306    	  17.1  	 257.6	   ///./	  276.0	 346.8  	 1145.5 	 19.5    	   31.5    	  28.1    	 12.44       	 59309.2      	   3.2   	 268    	 ////./       	 ////./       	 ////./        	  -87.61326	  41.86637	   306.4
00030.0  	  982.2       	  25.7	  59	   312    	  17.0  	 257.5	   ///./	  276.8	 346.8  	 1145.1 	 19.5    	   31.5    	  28.0    	 12.42       	 59310.2      	   3.2   	 267    	 ////./       	 ////./       	 ////./        	  -87.61322	  41.86637	   312.1
00031.0  	  981.6       	  25.6	  59	   318    	  17.0  	 257.4	   ///./	  277.6	 346.7  	 1144.7 	 19.4    	   31.5    	  27.9    	 12.40       	 59311.2      	   3.2   	 265    	 ////./       	 ////./       	 ////./        	  -87.61318	  41.86638	   317.8
