Time [mm:ss]	UTC Time [hh:mm:ss]	Range [m]	Vertical Speed [m/s]	Horizontal Speed [m/s]	Longitude [°]	Latitude [°]	Altitude [m]
00:07.0     	15:52:25.2         	211491.0 	0.2                 	0.1                   	-87.61432    	41.8665     	186.9
00:07.9     	15:52:26.1         	211491.0 	0.1                 	0.1                   	-87.61432    	41.8665     	187.1
00:09.0     	15:52:27.2         	211491.0 	0.1                 	0.1                   	-87.61432    	41.8665     	187.3
00:09.9     	15:52:28.1         	211491.0 	0.1                 	0.1                   	-87.61432    	41.8665     	187.6
00:11.0     	15:52:29.2         	211490.9 	0.1                 	0.0                   	-87.61432    	41.8665     	187.9
00:11.9     	15:52:30.1         	0.5      	-0.1                	0.0                   	-87.61432    	41.8665     	188.0
00:12.8     	15:52:31.0         	0.7      	0.1                 	0.0                   	-87.61432    	41.8665     	188.3
00:13.9     	15:52:32.2         	0.9      	0.0                 	0.0                   	-87.61432    	41.8665     	188.4
00:14.8     	15:52:33.1         	0.9      	0.1                 	0.1                   	-87.61432    	41.8665     	188.3
00:15.9     	15:52:34.2         	0.9      	0.1                 	0.0                   	-87.61432    	41.8665     	188.3
00:16.8     	15:52:35.1         	1.1      	0.0                 	0.0                   	-87.61432    	41.8665     	188.5
00:17.9     	15:52:36.2         	1.1      	0.2                 	0.2                   	-87.61432    	41.8665     	188.6
00:18.8     	15:52:37.1         	1.1      	0.0                 	0.0                   	-87.61432    	41.8665     	188.7
00:20.0     	15:52:38.2         	1.2      	0.0                 	0.1                   	-87.61432    	41.8665     	188.8
00:20.9     	15:52:39.1         	1.4      	0.2                 	0.1                   	-87.61432    	41.8665     	189.0
00:22.0     	15:52:40.2         	1.5      	-0.4                	0.2                   	-87.61432    	41.8665     	189.1
00:22.9     	15:52:41.1         	1.4      	0.0                 	0.1                   	-87.61432    	41.8665     	189.0
00:24.0     	15:52:42.2         	1.5      	0.1                 	0.1                   	-87.61432    	41.8665     	189.1
00:24.9     	15:52:43.1         	1.7      	0.2                 	0.0                   	-87.61432    	41.8665     	189.3
00:26.0     	15:52:44.2         	1.6      	0.1                 	0.0                   	-87.61432    	41.8665     	189.1
00:26.9     	15:52:45.1         	1.4      	0.0                 	0.0                   	-87.61432    	41.8665     	188.7
00:27.8     	15:52:46.1         	1.3      	0.0                 	0.0                   	-87.61432    	41.8665     	188.2
00:28.9     	15:52:47.2         	1.4      	0.0                 	0.0                   	-87.61432    	41.8665     	188.0
00:29.8     	15:52:48.1         	1.6      	0.0                 	0.1                   	-87.61432    	41.8665     	187.7
00:30.9     	15:52:49.2         	1.7      	-0.1                	0.1                   	-87.61432    	41.8665     	187.3
00:31.8     	15:52:50.1         	1.8      	0.0                 	0.1                   	-87.61432    	41.8665     	187.2
00:32.9     	15:52:51.2         	1.8      	0.1                 	0.1                   	-87.61432    	41.8665     	187.3
00:33.9     	15:52:52.1         	1.8      	0.1                 	0.1                   	-87.61432    	41.8665     	187.4
00:35.0     	15:52:53.2         	1.9      	0.1                 	0.0                   	-87.61432    	41.8665     	187.4
00:35.9     	15:52:54.1         	2.1      	0.0                 	0.1                   	-87.61432    	41.8665     	187.3
00:37.0     	15:52:55.2         	2.3      	0.0                 	0.0                   	-87.61432    	41.8665     	187.1
00:37.9     	15:52:56.1         	2.7      	-0.1                	0.0                   	-87.61432    	41.8665     	186.7
00:39.0     	15:52:57.2         	3.0      	0.0                 	0.1                   	-87.61432    	41.8665     	186.3
00:39.9     	15:52:58.1         	3.3      	-0.1                	0.0                   	-87.61432    	41.8665     	186.2
00:40.8     	15:52:59.0         	3.4      	0.1                 	0.0                   	-87.61432    	41.8665     	186.1
00:41.9     	15:53:00.2         	3.4      	0.0                 	0.0                   	-87.61432    	41.8665     	186.1
00:42.8     	15:53:01.1         	3.5      	0.1                 	0.1                   	-87.61432    	41.8665     	185.9
00:43.9     	15:53:02.2         	3.4      	0.0                 	0.0                   	-87.61432    	41.8665     	186.1
00:44.8     	15:53:03.1         	2.8      	0.4                 	0.2                   	-87.61433    	41.8665     	186.8
00:45.9     	15:53:04.2         	2.4      	0.2                 	0.0                   	-87.61433    	41.8665     	187.4
00:46.8     	15:53:05.1         	2.0      	-0.1                	0.1                   	-87.61433    	41.8665     	187.5
00:48.0     	15:53:06.2         	1.8      	0.1                 	0.1                   	-87.61433    	41.8665     	187.8
00:48.9     	15:53:07.1         	1.7      	0.1                 	0.1                   	-87.61433    	41.8665     	188.2
00:50.0     	15:53:08.2         	1.7      	0.1                 	0.1                   	-87.61433    	41.8665     	188.6
00:50.9     	15:53:09.1         	1.9      	0.3                 	0.1                   	-87.61433    	41.8665     	188.9
00:52.0     	15:53:10.2         	2.3      	0.2                 	0.1                   	-87.61433    	41.8665     	189.4
00:52.9     	15:53:11.1         	3.1      	0.1                 	0.1                   	-87.61434    	41.8665     	190.2
00:54.0     	15:53:12.2         	3.6      	0.2                 	0.1                   	-87.61434    	41.8665     	190.7
00:54.9     	15:53:13.1         	3.8      	0.1                 	0.0                   	-87.61434    	41.8665     	190.9
00:55.8     	15:53:14.1         	4.1      	0.1                 	0.0                   	-87.61435    	41.8665     	191.2
00:56.9     	15:53:15.2         	4.2      	0.0                 	0.1                   	-87.61434    	41.8665     	191.4
00:57.8     	15:53:16.1         	4.4      	0.0                 	0.0                   	-87.61434    	41.8665     	191.6
00:58.9     	15:53:17.2         	4.9      	0.2                 	0.1                   	-87.61435    	41.8665     	192.1
00:59.8     	15:53:18.1         	5.1      	-0.1                	0.0                   	-87.61435    	41.8665     	192.3
01:00.9     	15:53:19.2         	5.3      	0.1                 	0.1                   	-87.61435    	41.8665     	192.5
01:01.9     	15:53:20.1         	5.5      	0.0                 	0.0                   	-87.61435    	41.8665     	192.7
01:03.0     	15:53:21.2         	5.6      	0.2                 	0.1                   	-87.61435    	41.8665     	192.8
01:03.9     	15:53:22.1         	5.6      	-0.1                	0.1                   	-87.61435    	41.8665     	192.8
01:05.0     	15:53:23.2         	5.6      	0.1                 	0.1                   	-87.61435    	41.8665     	192.8
01:05.9     	15:53:24.1         	5.8      	0.1                 	0.1                   	-87.61435    	41.8665     	193.0
01:07.0     	15:53:25.2         	5.8      	0.1                 	0.0                   	-87.61435    	41.8665     	193.0
01:07.9     	15:53:26.1         	5.9      	0.1                 	0.1                   	-87.61435    	41.8665     	193.1
01:08.8     	15:53:27.0         	6.2      	0.1                 	0.1                   	-87.61435    	41.8665     	193.3
01:09.9     	15:53:28.1         	6.2      	-0.1                	0.1                   	-87.61435    	41.8665     	193.3
01:10.8     	15:53:29.1         	6.1      	0.0                 	0.1                   	-87.61435    	41.8665     	193.2
01:11.9     	15:53:30.2         	6.2      	0.1                 	0.1                   	-87.61435    	41.8665     	193.3
01:12.8     	15:53:31.1         	6.3      	-0.1                	0.0                   	-87.61435    	41.8665     	193.3
01:13.9     	15:53:32.2         	6.2      	0.0                 	0.0                   	-87.61435    	41.8665     	193.2
01:14.8     	15:53:33.1         	5.8      	0.0                 	0.1                   	-87.61435    	41.8665     	192.8
01:15.9     	15:53:34.2         	5.5      	0.1                 	0.1                   	-87.61435    	41.8665     	192.5
01:16.9     	15:53:35.1         	5.1      	0.0                 	0.0                   	-87.61435    	41.8665     	192.0
01:18.0     	15:53:36.2         	4.6      	0.0                 	0.1                   	-87.61435    	41.8665     	191.5
01:18.9     	15:53:37.1         	4.2      	0.1                 	0.1                   	-87.61435    	41.8665     	191.1
01:20.0     	15:53:38.2         	4.1      	0.1                 	0.0                   	-87.61435    	41.8665     	190.9
01:20.9     	15:53:39.1         	4.1      	0.4                 	0.2                   	-87.61435    	41.8665     	190.9
01:22.0     	15:53:40.2         	4.3      	0.3                 	0.1                   	-87.61435    	41.8665     	191.1
01:22.9     	15:53:41.1         	4.4      	0.1                 	0.1                   	-87.61435    	41.8665     	191.2
01:23.8     	15:53:42.0         	4.5      	0.1                 	0.0                   	-87.61435    	41.8665     	191.3
01:25.8     	15:53:44.1         	4.7      	0.1                 	0.1                   	-87.61435    	41.8665     	191.4
01:26.9     	15:53:45.2         	4.7      	0.1                 	0.1                   	-87.61436    	41.8665     	191.3
01:27.8     	15:53:46.1         	4.6      	0.0                 	0.0                   	-87.61436    	41.8665     	191.2
01:28.9     	15:53:47.2         	4.5      	0.1                 	0.1                   	-87.61436    	41.8665     	191.0
01:29.8     	15:53:48.1         	4.4      	0.2                 	0.1                   	-87.61436    	41.8665     	190.8
01:30.9     	15:53:49.2         	4.3      	0.2                 	0.1                   	-87.61436    	41.8665     	190.7
01:31.8     	15:53:50.1         	4.4      	0.0                 	0.0                   	-87.61436    	41.8665     	190.8
01:33.0     	15:53:51.2         	4.5      	0.0                 	0.0                   	-87.61436    	41.8665     	190.9
01:35.0     	15:53:53.2         	4.9      	0.0                 	0.1                   	-87.61435    	41.8665     	191.6
01:35.9     	15:53:54.1         	5.1      	-0.2                	0.1                   	-87.61435    	41.8665     	191.9
01:36.8     	15:53:55.0         	5.3      	0.1                 	0.0                   	-87.61435    	41.8665     	192.2
01:37.9     	15:53:56.1         	5.5      	-0.3                	0.2                   	-87.61435    	41.8665     	192.4
01:38.8     	15:53:57.0         	5.8      	0.2                 	0.1                   	-87.61435    	41.8665     	192.8
01:39.9     	15:53:58.1         	6.2      	0.1                 	0.1                   	-87.61436    	41.8665     	193.2
01:40.8     	15:53:59.0         	6.5      	0.2                 	0.2                   	-87.61436    	41.8665     	193.5
01:41.9     	15:54:00.2         	6.9      	0.4                 	0.2                   	-87.61436    	41.8665     	193.9
01:42.8     	15:54:01.1         	7.2      	0.0                 	0.1                   	-87.61436    	41.8665     	194.2
01:43.9     	15:54:02.2         	7.1      	-0.1                	0.0                   	-87.61436    	41.8665     	194.1
01:44.8     	15:54:03.1         	6.9      	0.0                 	0.0                   	-87.61436    	41.8665     	193.9
01:45.9     	15:54:04.2         	6.6      	0.0                 	0.0                   	-87.61435    	41.8665     	193.7
01:46.9     	15:54:05.1         	6.4      	0.1                 	0.0                   	-87.61435    	41.8665     	193.5
